,Country Code,Region,IncomeGroup,SpecialNotes,Country Name,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
13,AUS,East Asia & Pacific,High income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",Australia,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.585094712,1.097203891,1.768764913,1.974611016,2.232101254,2.759654513,3.27524987,16.36935838,30.81323944,40.7837839,46.75611561,52.68926643,,,,63.0,66.0,69.45,71.67,74.25,76.0,79.48769771,79.0,83.45349717,84.0,84.56051491,86.54,86.54504885,90.0,93.60991916,96.39446689,96.24,,
14,AUT,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Austria,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.130369377,0.259081553,0.642817619,0.76534273,1.393422968,1.890210524,6.909162353,9.533974317,15.42121932,23.0443171,33.73013295,39.18545018,36.56,42.7,54.28,58.0,63.6,69.37,72.87,73.45,75.17,78.7399931,80.02999392,80.6188,80.99582496,83.94014193,84.32374257,87.93558659,87.47913723,87.75220479,87.52942813,92.52915104,93.61409139,
15,AZE,Europe & Central Asia,Upper middle income,,Azerbaijan,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.001431415,0.002055556,0.006354585,0.025187933,0.037485109,0.099228942,0.147757576,0.305564638,4.999713678,,,8.030375356,11.99217733,14.54,17.08,27.4,46.0,50.0,54.2,73.00000137,75.00001564,77.0,78.2,79.0,79.79999549,81.09999907,84.59999573,86.0,,
16,BDI,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2022. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Burundi,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000803592,0.007979439,0.015842776,0.039204469,0.077248447,0.106001245,0.118228412,0.201273197,0.349060462,0.542142866,0.65759259,0.7,0.81,0.9,1.0,1.11,1.219999945,1.264218111,1.4,2.0,2.2,2.660748535,2.7,2.731443388,3.787954422,5.804921577,,
17,BEL,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Belgium,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00100674,0.020072645,0.100041027,0.199446059,0.69599469,0.99166299,2.968411647,4.93808091,7.886622701,13.77221446,29.43169169,31.28839551,46.33,49.97,53.86,55.82,61.98187002,66.76042024,68.85732214,74.54414555,77.63978551,81.609996,80.71999055,82.1702,85.0,85.05294175,86.51647666,87.67968082,88.647343,90.27542801,91.52641629,92.78867618,94.00783071,
18,BEN,Sub-Saharan Africa,Lower middle income,,Benin,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0016931,0.024648796,0.047877304,0.154906741,0.225247851,0.36341789,0.702945595,0.951327115,1.182540965,1.271031439,1.537854346,1.79,1.85,2.24,3.13,4.148323066,4.5,4.9,6.0,11.25498791,14.5,18.7,19.0,22.41593843,28.22915416,33.96533089,,
19,BFA,Sub-Saharan Africa,Low income,,Burkina Faso,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.000960519,0.018686353,0.045423484,0.061780293,0.077080169,0.157732465,0.200992598,0.373440303,0.400295285,0.469914489,0.632707564,0.75,0.92,1.13,2.4,3.0,3.725034916,5.0,6.0,6.55,7.14,7.79,8.5,9.27180601,13.93797176,21.57982734,,
20,BGD,South Asia,Lower middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",Bangladesh,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.000751046,0.003684813,0.036170407,0.071039423,0.129807974,0.139920289,0.163877665,0.199036334,0.241637326,1.0,1.8,2.5,3.1,3.7,4.5,5.0,6.63,11.9,12.9,18.1,19.8,23.44,27.76,32.87,38.91744466,,
21,BGR,Europe & Central Asia,Upper middle income,,Bulgaria,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.002339042,0.019526669,0.119665549,0.725251167,1.219813132,1.844965121,2.908154025,5.370923469,7.612297749,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45.0,46.23,47.97999305,51.89998767,53.0615,55.49,56.65625161,59.82554766,63.41010138,64.78201069,67.94698094,70.16248359,75.27144583,79.12686326,
22,BHR,Middle East & North Africa,High income,,Bahrain,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.346205844,0.843254219,1.646299202,3.218202151,4.720358118,6.153732546,15.03863425,18.05072089,21.55494499,21.45868051,21.30373351,28.24395243,32.91,51.95,53.0,55.0,76.9999665,88.0,90.0000397,90.50313348,93.4783008,97.9999807,95.87813575,98.64467258,99.70150438,99.67103159,100.0,,
23,BHS,Latin America & Caribbean,High income,,"Bahamas, The",Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.960030721,1.746950698,1.362953903,2.33559071,3.764557822,8.0,11.8,18.0,20.0,22.0,25.0,26.0,27.0,31.54,33.88,43.0,65.0,71.74820281,72.0,76.92,78.0,80.0,80.6,83.0,90.69327663,92.4760204,94.29380729,,
24,BIH,Europe & Central Asia,Upper middle income,,Bosnia and Herzegovina,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.015125563,0.059425563,0.14367106,0.1943742,1.08296075,1.200526951,2.648267914,3.965036834,15.46897162,21.326701,25.12238569,27.92,34.66,37.74,42.75,43.88768653,45.06450043,48.52131417,49.91773243,52.6,60.25653543,64.89202051,70.12013504,69.94634763,73.21175294,75.67620138,78.8455371,
25,BLR,Europe & Central Asia,Upper middle income,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)",Belarus,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.000485951,0.002921254,0.029298294,0.049020891,0.073868897,0.494881245,1.860398126,4.300616022,8.950971315,,,,16.2,19.7,23.0,27.43,31.8,39.64889566,46.91,54.17,59.02,62.23036091,71.11304576,74.43644541,79.12988669,82.78915209,85.08791245,86.88841196,89.50733148,
26,BLZ,Latin America & Caribbean,Upper middle income,,Belize,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.04539718,0.882807327,1.288582302,2.091516391,4.076740564,5.963835303,,5.684251214,,9.8,17.0,24.0,24.6,26.3,27.2,28.2,30.7,31.0,33.6,38.7,41.59,44.57574032,47.0826258,49.8,57.11844188,59.50638944,61.9941698,,
27,BMU,North America,High income,,Bermuda,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,6.838163465,16.20246602,24.18925674,32.10375935,39.94758876,42.94986002,47.5096999,52.03159737,56.52201218,60.99086701,65.44706579,69.89965516,74.35059403,82.3,83.25,84.21,88.336,91.29930452,95.3,96.8,98.32360965,98.0,98.37,,,,,,
28,BOL,Latin America & Caribbean,Lower middle income,,Bolivia,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.066807568,0.196081174,0.447839036,0.626484062,0.981815187,1.442763585,2.120462534,3.117192947,3.508596401,4.439924601,5.227583957,6.200671255,10.49924432,12.5,16.8,22.4,30.0,35.34,36.99,34.6,37.49,39.6975146,43.83227607,44.2861422,47.47481911,59.94010155,65.9773785,,
29,BRA,Latin America & Caribbean,Upper middle income,,Brazil,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.003288171,0.012946262,0.025498253,0.037672709,0.105138168,0.450789179,0.786079155,1.477874959,2.038732184,2.870685159,4.528494869,9.149425086,13.2075861,19.07367227,21.02274725,28.17838018,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.55100188,58.32795173,60.87254007,67.47128452,70.43428254,73.91243991,81.34269353,80.68989314,80.52775094,
30,BRB,Latin America & Caribbean,High income,,Barbados,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.007752238,0.389464214,0.783428912,1.970249237,2.376247035,3.973678355,11.93645034,27.83632242,39.68962712,49.8,52.5,55.3,58.2,61.4,64.7,65.1,66.5,71.2,71.8,75.16,76.11,79.54939789,81.76077839,82.48,83.20881332,82.458446,85.82,,
31,BRN,East Asia & Pacific,High income,,Brunei Darussalam,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.017080166,3.303349927,4.831057905,6.284742844,7.671041206,8.996284534,12.91776908,15.32987986,19.59500322,29.71560414,36.46639195,42.18634916,44.68,46.0,49.0,53.0,56.0,60.27306504,64.5,68.77,71.2,90.0,94.86669164,95.0,95.0,96.06912594,98.08,,
32,BTN,South Asia,Lower middle income,,Bhutan,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.137571514,0.400944447,0.864628564,1.675802584,2.436912399,3.156984196,3.847106745,4.518317258,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3,39.8,46.5,54.3,63.5,74.17944255,79.86984884,85.63688389,,
33,BWA,Sub-Saharan Africa,Upper middle income,,Botswana,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064521041,0.15745423,0.30774685,0.602400929,1.122391474,2.902666622,3.430886787,3.385922351,3.345190174,3.304889253,3.262554036,4.289932975,5.28,6.25,6.15,6.0,9.0,16.0,30.0,36.74474744,37.31205037,39.36299738,41.41379464,58.0,64.82632542,72.74801998,73.5,,
34,CAF,Sub-Saharan Africa,Low income,,Central African Republic,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.005849503,0.014270881,0.027878201,0.040894287,0.053394174,0.078543428,0.128537117,0.151563338,0.223401395,0.268195609,0.311159173,0.375815961,1.0,1.8,2.0,2.2,2.4,2.5,2.7,2.9,3.1,4.0,5.1,7.509161449,8.565672483,10.58263964,,
35,CAN,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.,Canada,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.360999701,0.570385926,0.91598104,1.184557509,2.378693853,4.163525253,6.76023965,15.07235736,24.8974003,36.18644004,51.3,60.2,61.59329927,64.2,65.95596346,71.66,72.4,73.2,76.7,80.3,80.3,83.0,83.0,85.8,87.12,90.0,91.16,92.70137191,94.64,91.91289669,92.3,92.83401664,,
37,CHE,Europe & Central Asia,High income,,Switzerland,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595714223,1.17995597,1.751713322,2.167270203,2.720004329,3.552007211,4.549656748,15.1,24.8,34.0,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.19302818,85.2,86.34,87.4,87.4790556,89.13468774,89.68614767,91.8,93.14608695,94.34995199,95.56937168,,
38,CHI,Europe & Central Asia,High income,,Channel Islands,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,CHL,Latin America & Caribbean,High income,,Chile,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.036548938,0.071783144,0.141084507,0.346980781,0.68347561,1.057092496,1.662322022,4.103419297,16.6,19.1,22.1,25.47377889,28.17791012,31.17534703,34.49775117,35.9,37.3,41.56,45.0,52.24960729,55.05,58.0,61.11,76.62959195,83.55858602,82.32748693,84.9,85.01758384,86.37099516,90.19336882,,
40,CHN,East Asia & Pacific,Upper middle income,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong, and on 20 December 1999, China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1978-1993. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",China,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.00016868,0.001168115,0.00495471,0.013081692,0.032394861,0.168540297,0.708187957,1.775913207,2.639650215,4.595704331,6.2,7.3,8.523257003,10.52315262,16.0,22.6,28.9,34.3,38.3,42.30011749,45.8,47.9,50.3,53.2,54.3,59.2,64.0808813,70.05275998,73.0532414,75.61131603,
41,CIV,Sub-Saharan Africa,Lower middle income,,Cote d'Ivoire,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.000200256,0.00840978,0.018828361,0.060974439,0.118685917,0.231461671,0.395747702,0.497929361,0.758669629,0.849282415,1.039238205,1.524900791,1.8,1.9,2.0,2.7,2.9,4.4,6.6,10.0,16.7,41.20781493,43.83992085,37.54653613,36.28895457,41.3736053,45.42553268,35.47812105,
42,CMR,Sub-Saharan Africa,Lower middle income,,Cameroon,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.006768744,0.013216341,0.129067581,0.252120078,0.277051322,0.360871584,0.587622611,0.976075415,1.402654226,2.028744791,2.93,3.4,3.84,4.3,5.0,7.5,10.0,16.21487223,18.3,20.6,23.20297197,29.7,36.5391824,45.52922268,45.60217394,,
43,COD,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1999-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Congo, Dem. Rep.",Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.000108207,0.000211213,0.000413065,0.001009076,0.005902114,0.011475782,0.092790702,0.134914837,0.196208375,0.238037799,0.29605361,0.37,0.44,0.56,0.72,1.2,1.679961015,2.2,3.0,3.799999507,6.20997406,8.619904916,11.7,16.48118911,22.86494849,22.90158489,,
44,COG,Sub-Saharan Africa,Lower middle income,,"Congo, Rep.",Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00352686,0.003469104,0.003415143,0.016791049,0.026354732,0.032223616,0.157249517,0.460014187,1.07750493,1.46342006,2.007990079,2.759704374,4.287509903,4.5,5.0,5.6,6.106695024,6.6,7.11,7.615974662,8.121949323,8.65,,,,,,
45,COL,Latin America & Caribbean,Upper middle income,,Colombia,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.107173945,0.18804679,0.330017773,0.550521023,1.126225245,1.697730794,2.207532993,2.854199971,4.6,7.388923711,9.118690303,11.00726389,15.34167454,21.8,25.6,30.0,36.5,40.35091575,48.98,51.7,52.57,55.90497251,58.13649357,62.25988032,64.12637682,65.00690072,69.79533474,73.02837449,72.79637704,
46,COM,Sub-Saharan Africa,Lower middle income,,Comoros,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.03787097,0.148162964,0.271740607,0.443068373,0.554869675,0.84818937,1.327327178,2.0,2.2,2.5,3.0,3.5,5.1,5.5,5.975296308,6.5,6.98,7.459161386,7.938322771,8.478170295,,16.38375122,21.16321517,27.33694319,,
47,CPV,Sub-Saharan Africa,Lower middle income,,Cabo Verde,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.24096792,0.472735008,1.159982461,1.822443852,2.685332713,3.518757175,4.324885391,5.31883207,6.074087107,6.808911008,8.28321982,14.0,21.0,30.0,32.0,34.74,37.5,40.26,42.68301416,50.32281787,57.16214635,59.5,61.94339776,63.16119125,69.76225648,,
48,CRI,Latin America & Caribbean,Upper middle income,,Costa Rica,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.001113325,0.081509754,0.279912479,0.416829206,0.84105704,1.640221288,2.666378698,3.904323257,5.800253023,9.559482135,19.89485113,20.33361481,20.79230671,22.07,25.1,28.4,32.29,34.33,36.5,39.212196,47.5,45.96,53.0,59.76295014,65.88044919,71.58166462,73.47972844,81.20259644,80.53018608,82.74901607,82.59801121,
50,CUB,Latin America & Caribbean,Upper middle income,,Cuba,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,9.17e-05,0.031949001,0.068220214,0.226699199,0.314690541,0.541182549,1.079751722,3.770585038,5.241269054,8.407984759,9.738062208,11.15960131,11.69,12.94,14.33,15.9,16.0172908,21.2,27.93,29.07018437,37.30509742,42.97867519,57.14840432,62.67892362,67.97080866,71.11907507,71.11907507,,
51,CUW,Latin America & Caribbean,High income,,Curacao,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.85551074,68.12721625,,,,,,
